CreditScore,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,Satisfaction Score,Point Earned,Geography_Germany,Geography_Spain,Gender_Male,HasCrCard_1,IsActiveMember_1,Complain_1,Card Type_GOLD,Card Type_PLATINUM,Card Type_SILVER,Exited
-0.3262214220367463,0.2935174228967471,-1.0417596792253108,-1.2258476714090278,-0.9115834940401767,0.021886493995386117,-0.721130416342303,-0.6308391179267365,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
-0.4400359548576657,0.1981638321954454,-1.3875375865624426,0.11735002143511059,-0.9115834940401767,0.21653375188734025,-0.009816137054176019,-0.6662508949483567,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
-1.536794180222889,0.2935174228967471,1.03290776479748,1.3330533457228904,2.52705661927622,0.24068690006348814,-0.009816137054176019,-1.0159421930368553,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
0.5015206348426676,0.0074566507928420294,-1.3875375865624426,-1.2258476714090278,0.8077365626180215,-0.10891791702847127,1.4128124215220779,-1.1354569404848232,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2.063883767202561,0.38887101359804876,-1.0417596792253108,0.7857278997960591,-0.9115834940401767,-0.36527578251440274,1.4128124215220779,-0.8034715309071345,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0
-0.05720525355093678,0.48422460429935044,1.03290776479748,0.5973285944410414,0.8077365626180215,0.8636502870218095,1.4128124215220779,-0.5423096753726862,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1
1.7741740472947665,1.0563461485071606,0.6871298574603482,-1.2258476714090278,0.8077365626180215,-1.5654872211931183,-0.721130416342303,-1.7728689268739852,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0
-1.5471409559338818,0.48422460429935044,-0.35020386455104724,1.0508202865849028,0.8077365626180215,-0.4373288460949081,-0.009816137054176019,-1.573677681127372,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0
0.3463189991777775,-1.1367864376227783,-1.0417596792253108,0.9314633619936777,-0.9115834940401767,-0.49323048409247083,-0.009816137054176019,-1.1708687175064434,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0
-1.2677780117370796,-0.7553720748175714,0.3413519501232164,0.409185402285092,0.8077365626180215,-0.34619970089236274,-0.009816137054176019,-1.5161335434672394,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
-1.5885280587778525,-1.4228472097266833,-0.695981771888179,-1.2258476714090278,0.8077365626180215,-0.412123315592307,-0.009816137054176019,-1.5825306253827771,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
-1.8058103487086987,-0.4693113027136664,1.7244635794717436,-1.2258476714090278,0.8077365626180215,-1.283817056739873,-0.009816137054176019,-2.157972001984104,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
-1.0504957218062334,-1.3274936190253817,-0.004425957213915414,-1.2258476714090278,0.8077365626180215,1.5783569986897874,-0.009816137054176019,-0.2545889870720227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
-0.1606730106608635,-0.3739577120123647,0.6871298574603482,-1.2258476714090278,0.8077365626180215,-0.5936359656444845,-0.721130416342303,-1.2771040485713037,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0
-0.3572617491697243,0.5795781950006521,-0.695981771888179,1.0681029591182611,0.8077365626180215,-0.6218824846013182,1.4128124215220779,-1.3213687698483287,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0
0.025568952137004615,1.8191748741175742,-1.3875375865624426,0.8993931172292712,-0.9115834940401767,-1.651825870574206,-0.721130416342303,-1.9632072283651933,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1
-1.0504957218062334,-1.4228472097266833,1.378685672134612,-1.2258476714090278,0.8077365626180215,-1.4899561835690913,-0.009816137054176019,-0.2767213477105353,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0
-0.6573182447885119,0.5795781950006521,0.3413519501232164,-1.2258476714090278,-0.9115834940401767,1.0189010247747559,-0.009816137054176019,0.5554554122975375,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.7808835790394698,-1.4228472097266833,0.3413519501232164,-1.2258476714090278,0.8077365626180215,-0.7888730584424746,0.7014981422339509,-0.5732949802666037,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0
0.8429642333054258,0.1981638321954454,1.03290776479748,-1.2258476714090278,0.8077365626180215,1.2310704831801604,-0.009816137054176019,-0.17048601664567495,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
-0.15032623494987085,-0.6600184841162697,1.03290776479748,-1.2258476714090278,0.8077365626180215,0.6688717421740601,-0.721130416342303,-1.1974275502726583,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
-1.4540199745349478,-0.08789693990845966,-0.35020386455104724,-1.2258476714090278,-0.9115834940401767,0.32731820632749364,-0.721130416342303,1.2415585920914272,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
0.19111736351288738,0.6749317857019538,-0.695981771888179,-1.2258476714090278,0.8077365626180215,-1.5928757668520803,-0.721130416342303,0.258881779741469,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0
2.0224966643585907,-0.08789693990845966,-0.004425957213915414,-1.2258476714090278,-0.9115834940401767,1.5219882921316075,-0.009816137054176019,-1.6887659564476376,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0
